,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
3779,male,yes,yes,yes,66,yes,yes,dsl,yes,yes,yes,yes,yes,no,two year,no,credit card (automatic),79.4,5154.6,yes
4134,female,no,yes,no,55,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),103.65,5676.65,no
920,male,no,yes,no,60,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),24.15,1505.9,no
5229,female,yes,yes,no,43,yes,yes,fiber optic,no,no,yes,yes,yes,yes,one year,yes,electronic check,107.55,4533.9,yes
4413,female,yes,no,no,17,yes,no,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,electronic check,89.15,1496.9,yes
2757,female,no,yes,yes,69,yes,yes,fiber optic,yes,no,yes,no,no,no,one year,no,bank transfer (automatic),84.45,5848.6,no
662,male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,20.05,no
4283,male,yes,yes,no,4,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.2,280.35,no
6780,male,no,yes,yes,13,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),44.8,559.2,no
2703,female,no,no,no,1,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,50.1,50.1,yes
2951,male,no,yes,no,20,yes,no,dsl,yes,no,no,yes,no,yes,one year,yes,mailed check,64.15,1274.45,no
1594,female,no,no,yes,62,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),26.0,1638.7,no
4036,female,no,yes,yes,18,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,20.25,401.95,no
4613,female,yes,no,no,54,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,79.5,4370.25,yes
3605,male,no,no,no,34,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,49.8,1734.2,no
3192,male,no,no,no,58,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.15,1035.5,no
5204,male,yes,yes,no,38,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,24.85,955.75,no
6741,female,no,no,no,12,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,96.0,1062.1,yes
5955,male,no,yes,yes,72,yes,no,dsl,yes,yes,no,yes,yes,no,two year,no,bank transfer (automatic),68.4,4855.35,no
6361,female,no,no,no,7,yes,no,dsl,no,no,yes,yes,no,yes,month-to-month,no,bank transfer (automatic),62.8,418.3,no
5637,male,no,yes,yes,64,yes,yes,fiber optic,no,no,yes,no,no,yes,one year,no,credit card (automatic),90.25,5629.15,no
4407,male,no,no,yes,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.35,178.7,no
6935,female,no,yes,yes,65,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),110.8,7245.9,no
6590,female,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.85,70.85,yes
4100,male,no,yes,no,50,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,electronic check,19.8,1013.2,no
3961,female,no,no,no,8,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed check,29.25,226.95,no
4879,female,yes,no,no,46,yes,yes,dsl,no,no,yes,yes,no,yes,one year,yes,credit card (automatic),69.1,3255.35,no
5152,female,no,yes,yes,55,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.65,1388.0,no
3445,female,no,yes,no,46,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,yes,electronic check,103.15,4594.65,no
1814,male,no,yes,yes,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.7,258.35,no
3600,male,yes,yes,yes,51,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,84.2,4146.05,yes
3161,male,no,no,no,14,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.35,324.8,no
3048,female,no,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,44.45,82.7,no
6375,female,no,no,no,1,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),74.3,74.3,yes
4812,female,no,no,no,9,yes,no,dsl,no,yes,no,yes,yes,no,month-to-month,no,mailed check,66.25,620.55,yes
2602,female,no,yes,yes,64,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,111.45,7266.95,no
6478,female,no,yes,no,60,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),110.8,6640.7,no
7032,male,yes,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,75.75,75.75,yes
4292,female,yes,no,no,31,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,73.9,2217.15,yes
4073,male,no,yes,yes,14,yes,no,dsl,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,65.45,937.6,yes
6489,male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,18.85,18.85,yes
2391,male,no,no,no,8,yes,yes,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic check,59.25,436.6,no
5119,female,no,no,no,5,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,yes,mailed check,75.65,399.45,no
4863,male,no,yes,yes,57,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.75,1123.15,no
6285,male,no,no,no,26,no,no phone service,dsl,yes,no,no,yes,yes,yes,one year,no,credit card (automatic),54.55,1362.85,no
6609,male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,20.1,20.1,yes
4827,female,no,no,yes,16,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,81.0,1312.15,yes
3355,female,no,yes,no,68,yes,yes,fiber optic,no,yes,yes,yes,no,no,two year,no,credit card (automatic),90.2,6297.65,no
5794,male,yes,yes,no,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),109.75,7932.5,no
6905,male,no,no,yes,30,no,no phone service,dsl,no,no,no,no,yes,yes,month-to-month,yes,electronic check,44.5,1307.8,no
2148,male,no,no,yes,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.55,128.6,no
589,male,no,yes,yes,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,electronic check,90.4,6668.05,no
263,female,no,no,no,31,no,no phone service,dsl,yes,yes,no,yes,no,yes,two year,yes,bank transfer (automatic),49.85,1520.1,no
2071,female,no,yes,yes,67,yes,yes,fiber optic,no,yes,no,yes,yes,no,two year,no,credit card (automatic),94.1,6302.8,no
2785,female,no,no,no,25,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,no,electronic check,108.9,2809.05,no
1755,female,no,no,no,12,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,yes,electronic check,54.3,654.5,no
2137,male,no,yes,yes,12,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),25.4,313.0,no
4058,female,no,yes,yes,40,yes,yes,fiber optic,no,no,yes,yes,no,no,month-to-month,yes,electronic check,84.85,3303.05,yes
301,female,yes,no,no,4,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.45,396.1,yes
6898,male,no,yes,yes,22,yes,no,fiber optic,no,yes,yes,no,yes,yes,one year,yes,mailed check,100.05,2090.25,no
4647,male,no,yes,yes,4,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.25,155.35,no
617,female,yes,no,no,66,yes,yes,fiber optic,no,no,yes,yes,yes,yes,one year,yes,credit card (automatic),102.85,6976.75,no
184,female,no,no,no,13,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,79.25,1111.65,yes
4433,female,no,no,no,4,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,75.65,302.35,no
4755,male,no,yes,no,33,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,91.25,2964.05,no
3059,female,no,yes,yes,64,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,24.05,1559.15,no
457,female,no,yes,yes,30,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),80.8,2369.3,no
3071,male,no,yes,yes,47,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,mailed check,90.5,4318.35,no
4570,male,no,no,no,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,18.95,130.55,no
1861,female,no,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.95,45.95,yes
1273,male,yes,yes,no,49,yes,yes,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,electronic check,88.2,4159.45,no
5838,male,no,yes,yes,53,yes,yes,dsl,yes,no,no,yes,no,yes,month-to-month,no,electronic check,71.85,3827.9,no
6459,male,yes,yes,no,51,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),29.45,1459.35,no
2745,male,yes,yes,no,1,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,86.05,86.05,yes
3149,female,no,no,no,8,yes,no,dsl,no,no,yes,yes,no,yes,month-to-month,no,mailed check,64.1,504.05,no
374,male,no,no,no,37,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),96.1,3646.8,no
5007,male,no,no,no,25,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.6,541.5,no
5312,male,no,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed check,51.25,51.25,yes
5154,female,no,yes,yes,17,yes,yes,fiber optic,yes,no,yes,no,yes,yes,month-to-month,yes,electronic check,104.2,1743.5,yes
5606,male,no,no,yes,15,yes,no,dsl,no,no,yes,yes,no,no,one year,no,credit card (automatic),55.2,864.55,no
84,female,no,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),20.15,973.35,no
6645,female,no,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.1,39.8,no
4958,female,no,yes,no,59,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,94.75,5597.65,no
6945,male,no,yes,yes,70,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,no,bank transfer (automatic),98.3,6859.5,yes
1127,female,no,yes,yes,23,yes,no,dsl,yes,yes,yes,yes,no,no,one year,yes,mailed check,66.25,1533.8,no
6004,female,no,yes,yes,67,yes,no,fiber optic,yes,yes,yes,no,no,no,one year,no,bank transfer (automatic),84.8,5598.3,no
198,male,no,yes,yes,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),112.25,8041.65,no
917,male,no,no,no,72,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),65.55,4807.45,no
5031,male,no,yes,yes,9,yes,no,fiber optic,no,yes,no,yes,yes,yes,month-to-month,yes,electronic check,101.5,906.85,no
261,male,yes,no,no,13,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,106.9,1364.3,yes
1401,female,yes,no,no,4,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),99.8,442.85,yes
2424,female,no,no,no,57,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),112.95,6465.0,yes
5649,female,no,yes,no,33,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,669.45,no
1645,female,yes,no,no,42,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,84.65,3541.35,yes
5098,male,yes,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,77.0,237.75,yes
5440,female,no,yes,yes,19,yes,no,dsl,no,no,yes,no,no,no,month-to-month,yes,bank transfer (automatic),49.6,962.9,no
4782,male,no,no,no,5,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,mailed check,78.75,426.35,no
4361,male,no,no,no,29,yes,no,dsl,yes,yes,no,yes,no,no,one year,yes,electronic check,58.75,1696.2,no
4521,female,no,yes,no,46,no,no phone service,dsl,yes,yes,no,no,yes,no,month-to-month,no,electronic check,45.55,2062.15,no
843,female,no,no,no,13,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),30.85,394.1,no
5507,female,no,no,no,28,yes,no,dsl,yes,yes,no,yes,no,no,one year,yes,electronic check,59.9,1654.7,no
4032,male,yes,yes,yes,68,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,84.65,5683.6,no
2295,male,no,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,25.15,25.15,yes
1010,male,no,no,no,3,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,50.15,160.85,no
5947,female,no,yes,yes,33,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,24.5,740.3,yes
4537,male,no,yes,no,17,no,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,yes,mailed check,49.8,836.35,no
5536,male,no,no,no,9,no,no phone service,dsl,no,no,no,no,yes,no,month-to-month,yes,credit card (automatic),34.7,296.1,yes
4014,female,yes,no,no,52,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,no,credit card (automatic),108.1,5839.3,no
6672,male,no,no,no,27,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.35,531.6,no
4705,male,no,no,no,6,yes,no,fiber optic,yes,yes,no,no,no,no,month-to-month,yes,electronic check,78.95,494.95,no
1021,male,no,yes,no,28,yes,no,dsl,yes,no,no,yes,no,no,one year,no,mailed check,54.35,1426.45,no
6704,female,no,yes,yes,59,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,106.15,6256.2,no
5789,female,no,no,no,25,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.8,475.2,no
5365,male,no,no,yes,62,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.0,1250.1,no
6578,female,no,no,yes,10,yes,yes,dsl,yes,no,yes,yes,no,yes,one year,no,credit card (automatic),73.55,693.3,no
3923,male,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,mailed check,80.85,80.85,yes
3534,female,no,no,yes,46,yes,no,fiber optic,yes,yes,no,yes,yes,yes,one year,yes,bank transfer (automatic),105.2,4822.85,yes
5573,female,yes,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.85,69.85,yes
923,female,no,yes,no,63,yes,yes,dsl,yes,yes,no,no,yes,yes,one year,yes,credit card (automatic),79.7,4786.15,no
2900,female,yes,yes,yes,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.25,69.25,yes
6939,male,no,no,no,35,yes,no,fiber optic,yes,no,no,yes,no,yes,one year,yes,electronic check,89.2,3251.3,no
2538,male,no,yes,yes,34,no,no phone service,dsl,no,no,no,yes,yes,no,two year,yes,electronic check,40.55,1325.85,no
5786,female,no,yes,no,72,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,credit card (automatic),84.4,6096.45,no
748,male,no,yes,no,48,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.25,855.1,no
2255,female,no,no,yes,1,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,51.2,51.2,no
5760,male,yes,yes,no,16,yes,no,fiber optic,no,no,yes,yes,no,yes,month-to-month,yes,electronic check,91.55,1540.05,no
1359,female,no,no,no,9,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,94.75,889.9,yes
909,female,no,no,no,71,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,electronic check,111.25,7984.15,no
3087,female,no,no,no,8,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,87.05,762.1,yes
4621,female,no,no,no,6,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,49.45,314.6,no
5366,female,no,yes,yes,66,yes,no,dsl,yes,no,no,no,yes,no,two year,yes,electronic check,59.75,3996.8,no
122,male,no,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.4,229.55,yes
4218,male,no,no,no,7,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),25.05,152.95,no
1463,female,no,no,no,4,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.4,281.0,yes
2982,male,no,yes,yes,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),20.85,1071.6,no
6310,female,no,no,no,60,no,no phone service,dsl,yes,no,yes,no,no,yes,one year,yes,electronic check,44.45,2773.9,no
5071,male,no,yes,no,1,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,no,credit card (automatic),75.35,75.35,no
4540,male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),20.95,20.95,no
5691,male,no,no,no,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.95,68.2,no
3325,male,no,no,no,4,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.65,338.9,yes
699,male,no,yes,yes,72,yes,yes,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),66.5,4811.6,no
1746,female,no,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),116.45,8013.55,no
905,male,yes,no,no,9,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.5,918.6,yes
4364,female,no,no,no,63,yes,yes,dsl,yes,yes,yes,yes,no,yes,two year,yes,credit card (automatic),80.3,4995.35,no
3563,male,yes,no,no,30,yes,yes,fiber optic,yes,no,no,no,no,yes,month-to-month,yes,credit card (automatic),90.5,2595.85,no
3790,male,no,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.3,28.3,yes
2494,male,no,no,no,35,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,credit card (automatic),75.35,2636.05,yes
6621,female,no,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.4,958.15,no
1332,male,no,no,no,69,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),23.95,1713.1,no
5653,female,no,no,no,7,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,79.0,522.95,yes
6065,male,no,no,no,59,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.0,1510.5,no
4398,male,no,yes,yes,70,yes,yes,dsl,yes,no,yes,no,yes,no,two year,no,credit card (automatic),68.95,4858.7,no
5493,female,yes,yes,no,6,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.35,474.9,yes
6735,female,no,yes,yes,71,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),87.25,6328.7,no
6955,female,no,no,no,12,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.05,523.1,no
4802,female,no,no,no,28,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,no,bank transfer (automatic),54.65,1517.5,no
4913,male,no,no,yes,14,yes,no,dsl,yes,yes,yes,yes,no,yes,two year,no,bank transfer (automatic),76.1,1054.8,no
2297,female,no,yes,no,54,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,no,electronic check,110.35,5893.15,yes
6300,female,no,yes,yes,67,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,24.9,1680.25,no
2361,female,no,no,yes,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.95,45.95,yes
3378,male,no,yes,no,72,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,no,mailed check,84.45,6033.1,no
6985,male,no,yes,yes,37,no,no phone service,dsl,yes,no,yes,yes,no,no,one year,yes,electronic check,40.2,1525.35,no
1905,female,no,no,no,41,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,24.85,962.25,no
6083,male,yes,yes,yes,64,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),24.4,1548.65,no
7006,male,no,no,no,40,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),104.5,4036.85,yes
114,female,no,yes,yes,64,no,no phone service,dsl,no,yes,no,yes,yes,yes,two year,yes,electronic check,54.6,3423.5,no
437,male,no,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),114.05,8468.2,no
1910,female,no,yes,yes,5,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,30.5,167.2,no
2293,male,no,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),85.95,6151.9,no
1962,male,no,no,no,23,yes,no,fiber optic,yes,no,yes,no,yes,yes,one year,yes,credit card (automatic),99.95,2292.75,no
6968,female,yes,no,no,22,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),74.4,1692.6,yes
5892,male,no,no,no,10,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,51.65,524.5,no
661,female,no,no,no,10,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.25,428.7,no
5559,female,no,no,no,13,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,31.65,389.95,no
2591,female,no,yes,yes,57,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,100.6,5611.7,no
139,female,yes,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.45,70.45,yes
4309,female,no,no,no,22,no,no phone service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,50.6,1073.3,no
6875,female,no,yes,no,64,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.45,1208.6,no
6811,male,no,yes,no,1,no,no phone service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,50.35,50.35,yes
6179,female,yes,no,no,11,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),95.15,997.65,yes
6512,male,no,no,no,11,yes,no,dsl,no,yes,yes,yes,no,no,month-to-month,yes,electronic check,60.9,688.5,no
6495,male,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.65,69.65,yes
1343,male,no,yes,yes,64,yes,no,dsl,yes,no,yes,no,yes,yes,one year,yes,credit card (automatic),73.05,4688.65,no
2185,male,no,yes,yes,24,yes,yes,dsl,yes,no,no,no,no,no,month-to-month,no,electronic check,54.75,1338.15,yes
5903,male,no,yes,no,52,yes,yes,fiber optic,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),91.6,4627.8,no
3643,female,no,yes,no,53,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.05,990.45,no
866,male,no,yes,no,62,no,no phone service,dsl,no,no,no,yes,yes,no,two year,yes,bank transfer (automatic),39.0,2337.45,no
3522,male,no,yes,yes,37,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.8,677.05,no
6631,male,no,yes,no,25,yes,yes,dsl,no,no,yes,no,no,no,month-to-month,no,credit card (automatic),55.55,1405.3,no
4368,female,yes,no,no,9,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,80.85,751.65,yes
6281,male,no,no,no,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.6,116.6,no
5350,male,no,yes,yes,53,yes,yes,dsl,yes,yes,no,no,no,yes,two year,no,bank transfer (automatic),69.7,3686.05,no
1992,female,no,no,no,17,yes,no,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,83.55,1329.15,no
6551,female,no,yes,no,63,yes,no,fiber optic,no,yes,no,no,yes,yes,one year,yes,electronic check,96.0,6109.75,no
4076,male,no,yes,no,70,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,credit card (automatic),99.35,6944.5,no
26,male,no,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,99.35,4749.15,yes
3557,female,yes,no,no,33,no,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),59.45,1884.65,no
1900,male,no,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.9,76.65,no
2789,female,no,no,no,24,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,credit card (automatic),88.95,2072.75,no
3167,female,no,yes,no,64,yes,no,dsl,yes,yes,yes,yes,no,yes,two year,yes,mailed check,74.35,4759.55,no
2178,male,no,yes,no,53,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.9,1110.05,no
1260,male,no,no,no,2,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed check,50.3,92.75,no
5431,female,no,no,no,37,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,19.8,695.05,no
2656,female,no,no,no,39,yes,no,dsl,no,no,no,yes,no,yes,one year,no,electronic check,59.3,2209.15,no
736,female,no,no,no,30,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,no,credit card (automatic),110.45,3327.05,no
6554,female,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,68.65,68.65,yes
5837,female,no,no,no,2,no,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,no,electronic check,51.4,96.8,no
4858,male,no,yes,yes,57,yes,no,dsl,yes,yes,no,yes,no,no,one year,no,mailed check,59.6,3509.4,no
2633,female,no,yes,no,65,yes,yes,fiber optic,yes,yes,no,yes,yes,no,one year,yes,bank transfer (automatic),100.15,6643.5,no
